threshold,coverage,accuracy
0.9957274,0.4522106631989597,0.9935298346513299
0.99571806,0.45546163849154747,0.9935760171306209
0.99570435,0.45871261378413525,0.9936215450035436
0.9956838,0.461963589076723,0.9936664320900774
0.995666,0.4652145643693108,0.9937106918238994
0.9956534,0.4684655396618986,0.9937543372657877
0.9956098,0.47171651495448635,0.9931082012405238
0.9955781,0.47496749024707413,0.9931553730321697
0.99555933,0.4782184655396619,0.9932019034670292
0.9955374,0.4814694408322497,0.9932478055367995
0.99550784,0.48472041612483746,0.9932930918846412
0.9954751,0.48797139141742524,0.9933377748167888
0.9954574,0.491222366710013,0.9933818663136995
0.99541855,0.4944733420026008,0.9927679158448389
0.99539953,0.49772431729518857,0.992815153494448
0.9953473,0.5009752925877763,0.9922128487994809
0.9953042,0.5042262678803641,0.9922630560928434
0.9952748,0.5074772431729518,0.9923126201153107
0.99522614,0.5107282184655396,0.9923615531508593
0.99518305,0.5139791937581274,0.9924098671726755
0.99513286,0.5172301690507152,0.9924575738529227
0.99509865,0.520481144343303,0.9925046845721424
0.99506193,0.5237321196358907,0.9925512104283054
0.9950128,0.5269830949284785,0.9925971622455274
0.9949732,0.5302340702210663,0.9920294297976702
0.99490523,0.533485045513654,0.9914686166971359
0.99483395,0.5367360208062418,0.9915202907328892
0.99481887,0.5399869960988296,0.9909692956050572
0.9947684,0.5432379713914174,0.9910233393177738
0.9947313,0.5464889466840052,0.991076740035693
0.9946942,0.5497399219765929,0.9911295091661738
0.9946567,0.5529908972691807,0.9905937683715461
0.99460644,0.5562418725617685,0.9906487434248977
0.9945749,0.5594928478543563,0.9907030796048809
0.9945245,0.562743823146944,0.9907567879838244
0.99447167,0.5659947984395318,0.9908098793796669
0.99443996,0.5692457737321196,0.9908623643632211
0.99438757,0.5724967490247074,0.9909142532651902
0.9943137,0.5757477243172952,0.9909655561829475
0.9942368,0.5789986996098829,0.9910162829870859
0.99417406,0.5822496749024707,0.9910664433277498
0.9941193,0.5855006501950585,0.9911160466407551
0.9940724,0.5887516254876463,0.9911651021535064
0.9939997,0.592002600780234,0.9906644700713894
0.99393976,0.5952535760728218,0.9907154560349536
0.993852,0.5985045513654096,0.9907658881042911
0.99376535,0.6017555266579974,0.9902755267423015
0.9937279,0.6050065019505851,0.9903277807630306
0.99365485,0.6082574772431729,0.9903794762159273
0.9935859,0.6115084525357607,0.9904306220095693
0.9935315,0.6147594278283485,0.9899524061343205
0.9934597,0.6180104031209362,0.9900052603892688
0.9933873,0.621261378413524,0.9900575614861329
0.9933502,0.6245123537061118,0.9901093180635085
0.9933031,0.6277633289986996,0.9901605385810461
0.99323493,0.6310143042912874,0.9902112313240597
0.9931601,0.6342652795838751,0.9902614044079959
0.9930489,0.6375162548764629,0.9903110657827638
0.9929575,0.6407672301690507,0.989345509893455
0.99288046,0.6440182054616385,0.98889449772842
0.99280727,0.6472691807542262,0.988950276243094
0.992766,0.650520156046814,0.9885057471264368
0.9927006,0.6537711313394018,0.9885629040278469
0.99261194,0.6570221066319896,0.9886194952993568
0.9925283,0.6602730819245773,0.9881831610044313
0.99243003,0.6635240572171651,0.9882410583047526
0.9923515,0.6667750325097529,0.9873232569478303
0.9922472,0.6700260078023407,0.987384764677341
0.99212766,0.6732769830949284,0.987445678416224
0.99198216,0.6765279583875162,0.9875060067275349
0.9918573,0.679778933680104,0.9875657580105213
0.99172837,0.6830299089726918,0.9876249405045217
0.9916431,0.6862808842652796,0.9876835622927522
0.99149984,0.6895318595578673,0.9877416313059877
0.99136037,0.6927828348504551,0.9877991553261379
0.9912753,0.6960338101430429,0.9878561419897244
0.99118024,0.6992847854356307,0.9879125987912599
0.99102926,0.7025357607282184,0.987043035631652
0.9909202,0.7057867360208062,0.9866421004145555
0.9908065,0.709037711313394,0.9862448418156808
0.99064714,0.7122886866059818,0.985851209493382
0.99048495,0.7155396618985695,0.9854611540208996
0.99038565,0.7187906371911573,0.9855269109000452
0.99017054,0.7220416124837451,0.9855920756416029
0.98995507,0.7252925877763329,0.9856566562079785
0.98980904,0.7285435630689207,0.9852744310575636
0.9895543,0.7317945383615084,0.9848956019546868
0.9893022,0.7350455136540962,0.9849624060150376
0.98905396,0.738296488946684,0.9850286217525319
0.98876834,0.7415474642392718,0.9842174484875055
0.98841,0.7447984395318595,0.9838498472282846
0.98822093,0.7480494148244473,0.9839200347674923
0.98813665,0.7513003901170351,0.9835569017741238
0.9879318,0.7545513654096229,0.983627746660922
0.9876903,0.7578023407022106,0.9832689832689833
0.9874933,0.7610533159947984,0.982913284920974
0.98728716,0.7643042912873862,0.9829859634198214
0.98689854,0.767555266579974,0.9830580262600593
0.9867489,0.7708062418725617,0.9831294812315479
0.986317,0.7740572171651495,0.9832003359932802
0.98579454,0.7773081924577373,0.9824341279799247
0.9854586,0.7805591677503251,0.9820907955018742
0.9851407,0.7838101430429129,0.981750311074243
0.9849089,0.7870611183355006,0.9814126394052045
0.98449916,0.7903120936280884,0.981489099136158
0.98405486,0.7935630689206762,0.9807455960671856
0.9836077,0.796814044213264,0.9800081599347206
0.9831355,0.8000650195058517,0.980089394555059
0.9826764,0.8033159947984395,0.9801699716713881
0.9824223,0.8065669700910273,0.9794437726723095
0.9815788,0.8098179453836151,0.9795262946607788
0.9809342,0.8130689206762028,0.9796081567373051
0.980293,0.8163198959687906,0.9796893667861409
0.9798538,0.8195708712613784,0.9797699325664418
0.9789508,0.8228218465539662,0.9794547609640458
0.97786474,0.826072821846554,0.9795356158992523
0.9765694,0.8293237971391417,0.9792238337906704
0.9757726,0.8325747724317295,0.9793049590003905
0.9745748,0.8358257477243173,0.9793854531310774
0.972887,0.8390767230169051,0.9790778767919411
0.9718863,0.8423276983094928,0.9791586260131223
0.9702646,0.8455786736020806,0.9792387543252595
0.96897215,0.8488296488946684,0.9781692837993106
0.9678468,0.8520806241872562,0.9782525753529188
0.9658739,0.8553315994798439,0.9783352337514253
0.96395755,0.8585825747724317,0.9772813328284741
0.9613743,0.8618335500650195,0.976612599019238
0.95761555,0.8650845253576073,0.9763246899661782
0.954056,0.868335500650195,0.9756645451141894
0.95078576,0.8715864759427828,0.9753823200298396
0.9480187,0.8748374512353706,0.9743589743589743
0.9424459,0.8780884265279584,0.972972972972973
0.93982667,0.8813394018205462,0.9712283290298783
0.936664,0.8845903771131339,0.9705990444689453
0.9322533,0.8878413524057217,0.9696082021237642
0.9292747,0.8910923276983095,0.967894928858081
0.9245147,0.8943433029908973,0.9672846237731734
0.91912335,0.897594278283485,0.9659543643607389
0.91270185,0.9008452535760728,0.9653554673403103
0.90621895,0.9040962288686606,0.9647608773822366
0.899075,0.9073472041612484,0.9641705481906127
0.89160067,0.9105981794538361,0.9635844341306676
0.88402224,0.9138491547464239,0.9626467449306296
0.87182766,0.9171001300390117,0.9613612194257356
0.86417764,0.9203511053315995,0.9593783115506888
0.8518973,0.9236020806241872,0.9588173178458289
0.8405175,0.926853055916775,0.957558751315328
0.83188665,0.9301040312093628,0.9573575672841663
0.8150842,0.9333550065019506,0.9568094740508534
0.8003584,0.9366059817945384,0.9559180839986116
0.7779428,0.9398569570871261,0.9550328606018679
0.76544094,0.9431079323797139,0.9541537400896243
0.7438455,0.9463589076723017,0.953280659567159
0.7258806,0.9496098829648895,0.9517288599794591
0.70957196,0.9528608582574772,0.9498464687819856
0.6914183,0.956111833550065,0.948996939816389
0.6769696,0.9593628088426528,0.9481531684174856
0.65582937,0.9626137841352406,0.9463019250253293
0.64058733,0.9658647594278283,0.9447997307303938
0.60936207,0.9691157347204161,0.9439785306943979
0.58839047,0.9723667100130039,0.9418254764292878
0.5662714,0.9756176853055917,0.9396867710763079
0.5393565,0.9788686605981795,0.9388907339754234
0.5161387,0.9821196358907672,0.9371069182389937
0.4983936,0.985370611183355,0.9353348729792148
0.46315634,0.9886215864759428,0.9335744820782638
0.43171817,0.9918725617685306,0.9314978695509669
0.38355696,0.9951235370611183,0.9291081345965371
0.26253748,0.9983745123537061,0.9267339628785412
